exact_score_accuracy,goal_mae,goal_difference_mae,outcome_accuracy,brier_score,log_loss,match_id,model
0,1.0,0,1,0.27980000000000005,0.5621189181535413,M47,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,0,1,0.18499999999999997,0.4307829160924542,M48,aisingapore/gemma-sea-lion-v4-27b-it
1,0.0,0,1,0.4538000000000001,0.7985076962177716,M49,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,2,0,0.45500000000000007,0.7985076962177716,M50,aisingapore/gemma-sea-lion-v4-27b-it
0,2.0,0,1,0.095,0.2876820724517809,M51,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,2,1,0.27980000000000005,0.5621189181535413,M52,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,2,0,0.7938,1.2729656758128873,M53,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,2,1,0.4538000000000001,0.7985076962177716,M54,aisingapore/gemma-sea-lion-v4-27b-it
0,0.5,1,1,0.30779999999999996,0.5978370007556204,M55,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,2,0,1.0424000000000002,1.7147984280919266,M56,aisingapore/gemma-sea-lion-v4-27b-it
1,0.0,0,1,0.14480000000000004,0.35667494393873245,M57,aisingapore/gemma-sea-lion-v4-27b-it
0,0.5,1,0,0.855,1.3862943611198906,M58,aisingapore/gemma-sea-lion-v4-27b-it
0,1.5,1,0,0.5768000000000001,0.9675840262617056,M59,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,0,1,0.7808,1.2729656758128873,M60,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,2,1,0.3318,0.6348782724359695,M61,aisingapore/gemma-sea-lion-v4-27b-it
0,2.0,4,1,0.30499999999999994,0.5978370007556204,M62,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,0,1,0.6967999999999999,1.1394342831883648,M63,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,0,1,0.3768,0.6931471805599453,M64,aisingapore/gemma-sea-lion-v4-27b-it
0,2.0,2,1,0.08179999999999998,0.2613647641344075,M65,aisingapore/gemma-sea-lion-v4-27b-it
1,0.0,0,1,0.6967999999999999,1.1394342831883648,M66,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,0,1,0.08179999999999998,0.2613647641344075,M67,aisingapore/gemma-sea-lion-v4-27b-it
1,0.0,0,1,0.18499999999999997,0.4307829160924542,M68,aisingapore/gemma-sea-lion-v4-27b-it
0,1.5,1,0,0.8138,1.3093333199837622,M69,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,2,0,0.5768,0.9675840262617056,M70,aisingapore/gemma-sea-lion-v4-27b-it
0,2.0,0,1,0.6967999999999999,1.1394342831883648,M71,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,0,1,0.06499999999999997,0.2231435513142097,M72,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,0,1,0.2888,0.4780358009429998,M73,aisingapore/gemma-sea-lion-v4-27b-it
1,0.0,0,1,0.20479999999999998,0.3856624808119846,M74,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,2,0,1.4449999999999998,1.8971199848858813,M75,aisingapore/gemma-sea-lion-v4-27b-it
0,0.5,1,1,0.4608,0.6539264674066639,M76,aisingapore/gemma-sea-lion-v4-27b-it
1,0.0,0,1,0.3528,0.5447271754416722,M77,aisingapore/gemma-sea-lion-v4-27b-it
0,0.5,1,1,0.045000000000000005,0.16251892949777494,M78,aisingapore/gemma-sea-lion-v4-27b-it
0,0.5,1,1,0.24499999999999997,0.4307829160924542,M79,aisingapore/gemma-sea-lion-v4-27b-it
0,0.5,1,1,0.045000000000000005,0.16251892949777494,M80,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,0,1,0.20479999999999998,0.3856624808119846,M81,aisingapore/gemma-sea-lion-v4-27b-it
0,0.5,1,1,0.20479999999999998,0.3856624808119846,M82,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,2,1,0.045000000000000005,0.16251892949777494,M83,aisingapore/gemma-sea-lion-v4-27b-it
1,0.0,0,1,0.24499999999999997,0.4307829160924542,M84,aisingapore/gemma-sea-lion-v4-27b-it
0,0.5,1,1,0.3528,0.5447271754416722,M85,aisingapore/gemma-sea-lion-v4-27b-it
1,0.0,0,1,0.4608,0.6539264674066639,M86,aisingapore/gemma-sea-lion-v4-27b-it
0,0.5,1,1,0.0050000000000000044,0.05129329438755058,M87,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,0,1,0.125,0.2876820724517809,M88,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,2,1,0.24499999999999997,0.4307829160924542,M89,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,0,1,0.15680000000000002,0.3285040669720361,M90,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,2,0,1.125,1.3862943611198906,M91,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,0,1,0.24499999999999997,0.4307829160924542,M92,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,0,1,0.3528,0.5447271754416722,M93,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,2,1,0.24499999999999997,0.4307829160924542,M94,aisingapore/gemma-sea-lion-v4-27b-it
0,1.5,1,1,0.045000000000000005,0.16251892949777494,M95,aisingapore/gemma-sea-lion-v4-27b-it
0,1.0,0,0,0.4608,0.6539264674066639,M96,aisingapore/gemma-sea-lion-v4-27b-it
0,0.5,1,1,0.20479999999999998,0.3856624808119846,M97,aisingapore/gemma-sea-lion-v4-27b-it
1,0.0,0,1,0.20479999999999998,0.3856624808119846,M98,aisingapore/gemma-sea-lion-v4-27b-it
1,0.0,0,1,0.15680000000000002,0.3285040669720361,M99,aisingapore/gemma-sea-lion-v4-27b-it
